代码	名称
VHSI	恒指波幅指数
VHSCEI	恒生国指波幅指数
SZHKDE	国证恒生大湾区数字经济指数
SZHKCON	国证恒生大湾区消费指数
SPHKL	标普香港大型股指数
SPHKG	标普香港创业板指数
SCCEA	恒生港交所沪深港通中国企业
HTECH10	恒生科指10强指数
HSUST	恒生港美科技指数
HSUSRT	恒生港美机器人主题指数
HSUSMC	恒生港美超大型股指数
HSUSLC	恒生港美大型股指数
HSUSB	恒生港美生物科技指数
HSUNTRI	恒生公用事业分类指数(NTR)
HSUGTRI	恒生公用事业分类指数(GTR)
HSU	恒生公用事业指数
HSTUSS	恒生科技美股半导体指数
HSTUSAI	恒生科技美股人工智能指数
HSTUSA	恒生科技美股汽车指数
HSTT15WC	恒生科指15%周备兑认购期权指数
HSTOCC	恒指价外备兑认购期权指数
HSTNT15WC	恒生科指NTR15%周备兑期权指数
HSTNOCC	恒指NTR价外备兑认购期权指数
HSTNCC	恒指NTR备兑认购期权指数
HSTECHT	恒生科技指数股息累计指数
HSTECHS	恒生科指短仓指数
HSTECHN	恒生科技指数净股息累计指数
HSTECHF	恒生科技指期货指数
HSTECH2L	恒生科指2倍杠杆指数
HSTECH	恒生科技指数
HSTECF2S	恒生科技指期货2倍短仓指数
HSTECF2L	恒生科技指期货2倍杠杆指数
HSTCC	恒生科指备兑认购期权指数
HST2SI	恒生科指2倍短仓指数
HST2LT	恒生科指股息累计2倍杠杆指数
HSSUSB	恒生可持续发展企业基准指数
HSSUS	恒生可持续发展企业指数
HSSSHTS	恒生沪深港科技精选50指数
HSSSHSC	恒生沪深港(特选企业)300指数
HSSSHID	恒生沪深港创新药精选50指数
HSSSHGZ	恒生沪深港Z世代指数
HSSSHGI	恒生沪深港燃气产业指数
HSSSHCE	恒生沪深港清洁能源指数
HSSSHAE	恒生沪深港智能及电动车指数
HSSSCHD	恒生沪深港特选高股息率指数
HSSIV	恒生小型股(可投资)指数
HSSI	恒生综合小型股指数
HSSHHKAH	中证恒生沪港通AH股精明指数
HSSH	恒生航运主题指数
HSSEHDE	恒生港股通国企高股息率ESG
HSSCYCI	恒生沪深港通中国股息率全选指数
HSSCVCI	恒生沪深港通中国价值全选指数
HSSCTUI	恒生港股通电讯及公用(可投资)
HSSCTU	恒生港股通电讯及公用事业指数
HSSCTEI	恒生港股通旅游主题指数
HSSCTE	恒生港股通文化娱乐指数
HSSCT	恒生港股通中国科技指数
HSSCSV	恒生港股通国有企业价值指数
HSSCSS	恒生港股通软件及半导体指数
HSSCSQ	恒生港股通国有企业质量指数
HSSCSOY	恒生港股通中国央企红利指数
HSSCSOS	恒生港股通国有企业优选指数
HSSCSOE	恒生港股通中国国资央企指数
HSSCSM	恒生港股通国有企业动量指数
HSSCSLV	恒生港股通国有企业低波幅指数
HSSCSI	恒生港股通软件主题指数
HSSCSEL	恒生港股通中国央企ESG领先指数
HSSCSEE	恒生港股通央企ESG增强指数
HSSCSE	恒生港股通央企ESG指数
HSSCSCI	恒生沪深港通中国规模全选指数
HSSCS40	恒生港股通中国央企ESG40指数
HSSCR	恒生港股通资源指数
HSSCQCI	恒生沪深港通中国质量全选指数
HSSCPOE	恒生港股通中国民企指数
HSSCPCI	恒生港股通地产建筑业(可投资)
HSSCPC	恒生港股通地产建筑业指数
HSSCPBI	恒生港股通药品及生技(可投资)
HSSCPB	恒生港股通创新药精选指数
HSSCNE	恒生港股通新经济指数
HSSCMLC	恒生港股通中国内地公司指数
HSSCMII	恒生港股通原材料及工业(可投资)
HSSCMI	恒生港股通原材料及工业指数
HSSCMCI	恒生沪深港通中国动量全选指数
HSSCLVS	恒生港股通低波精选指数
HSSCLCI	恒生沪深港通中国低波幅全选指数
HSSCITI	恒生港股通科技主题指数
HSSCID	恒生港股通创新药指数
HSSCHYS	恒生港股通红利优选指数
HSSCHKY	恒生港股通高股息率指数
HSSCHKC	恒生港股通香港公司指数
HSSCHI	恒生港股通中国内地医疗保健指数
HSSCHES	恒生港股通医疗保健设备和服务
HSSCHDY	恒生港股通国有企业红利指数
HSSCFI	恒生港股通金融业(可投资)指数
HSSCFCF	恒生港股通自由现金流指数
HSSCF	恒生港股通金融业指数
HSSCETI	恒生港股通电子主题指数
HSSCESI	恒生港股通医疗主题指数
HSSCCSV	恒生港股通央企价值指数
HSSCCSS	恒生港股通央企优选指数
HSSCCSQ	恒生港股通央企质量指数
HSSCCSM	恒生港股通央企动量指数
HSSCCSI	恒生港股通必需性消费(可投资)
HSSCCS	恒生港股通食品饮料指数
HSSCCLV	恒生港股通央企低波幅指数
HSSCCI	恒生港股通消费行业(可投资)
HSSCCDI	恒生港股通非必需性消费(可投资)
HSSCCD	恒生港股通非必需性消费指数
HSSCC	恒生港股通消费行业指数
HSSCBSI	恒生港股通保险主题指数
HSSCBII	恒生港股通银行保险指数
HSSCBI	恒生港股通中国内地银行指数
HSSCBBAI	恒生沪深港通大湾区指数
HSSCB50	恒生沪深港通生物科技50指数
HSSCAM	恒生港股通汽车主题指数
HSSCAI	恒生港股通人工智能主题指数
HSSC50	恒生港股通50指数
HSREIT	恒生房地产基金指数
HSRAIHSIER20	恒生风险调控指数(ER)-恒指20%
HSRAIHSI20	恒生风险调控指数-恒指20%
HSRAICEIER25	恒生风险调控指数(ER)-国企25%
HSRAICEI25	恒指风险调控-国企指数25%
HSQGLV	恒生港股通质量成长低波动指数
HSPSM	恒生物业服务及管理指数
HSPOE	恒生中国民企指数
HSPNTRI	恒生地产分类指数(NTR)
HSPGTRI	恒生地产分类指数(GTR)
HSPDM	恒生地产及物业管理指数
HSP	恒生地产指数
HSMSI	恒生综合中小型股指数
HSMPI	恒生中国内地地产指数
HSMOGI	恒生内地石油天然指数
HSML100	恒生中国(香港上市)100指数
HSMI	恒生综合中型股指数
HSMHSUS	恒生内地香港可持续发展企业指数
HSME	恒生传媒指数
HSMCHYI	恒生港股通内地企业高股息指数
HSMBI	恒生中国内地银行指数
HSLVI	恒生低波幅指数
HSLMYCI	恒生大中型股股息率全选指数
HSLMVCI	恒生大中型股价值全选指数
HSLMSCI	恒生大中型股规模全选指数
HSLMRMQ	大中型股风险平价混合因子(QVLM)
HSLMQCI	恒生大中型股质量全选指数
HSLMMCI	恒生大中型股动量全选指数
HSLMLCI	恒生大中型股低波幅全选指数
HSLMIV	恒生大中型股(可投资)指数
HSLMI	恒生综合大中型股指数
HSLMEMQ	大中型股等权重混合因子(QVLM)
HSLKER	恒指1.2倍韩元重置额外回报
HSLI	恒生综合大型股指数
HSITI	恒生资讯科技业(可投资)指数
HSIT	恒生资讯科技业指数
HSISUI	恒指可持续发展指数
HSISI	恒指短仓指数
HSISC	恒指港股通指数
HSIRMBH	恒指人民币对冲指数
HSIQHK	恒指汇率连动港元韩元调控指数
HSIOCC	恒指5%价外备兑认购期权指数
HSINTRI	恒生指数(NTR)
HSINOCC	恒指NTR5%价外备兑认购期权指数
HSINCC	恒指净股息累计备兑认购期权指数
HSILOWC	恒指低碳指数
HSILI	恒指杠杆指数
HSIKRWH	恒指韩元对冲指数
HSIJPYH	恒指日元对冲指数
HSIII	恒生互联网科技业指数
HSIGTRI	恒生指数(GTR)
HSIGBPH	恒指英镑对冲指数
HSIEURH	恒指欧罗对冲指数
HSIEURDH	恒指欧罗每日对冲指数
HSIESGS	恒指ESG增强指数
HSIESG	恒指ESG指数
HSIDPI	恒指股息点指数
HSIDI	恒生创新药指数
HSICC	恒指备兑认购期权指数
HSI2SI	恒指2倍短仓指数
HSI125LI	恒指1.25倍杠杆指数
HSI	恒生指数
HSHYLV	恒生港股通高股息低波动指数
HSHKS50	恒生港股通高持股50指数
HSHKS	恒生港股通小型股指数
HSHKMS	恒生港股通中小型股指数
