序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
1,H11057,石化产业,1504.92,2.0,29.57,18504128,36415445000.0,4.66,1516.52,1447.72,1449.26,1475.35,0.81
2,931719,CS电池,4146.15,1.99,80.97,16201884,76084730910.0,5.1,4200.13,3992.75,4017.21,4065.18,1.05
3,H30053,AMAC化学,3639.0,1.9,67.71,67265441,111036994420.0,4.62,3677.66,3512.69,3524.78,3571.29,0.93
4,930997,新能源车,2990.99,1.79,52.63,17258398,79612979587.0,4.64,3023.58,2887.38,2899.01,2938.36,1.0
5,H30055,AMAC化纤,5280.89,1.61,83.74,5929123,6919140968.0,4.9,5357.36,5102.79,5143.34,5197.15,0.9
6,930598,稀土产业,3015.15,1.6,47.57,24134431,40046029745.0,4.56,3046.35,2911.03,2913.91,2967.58,0.64
7,930632,CS稀金属,2976.51,1.51,44.37,21620321,64588520335.0,5.28,3004.07,2849.38,2852.14,2932.14,0.72
8,H30044,AMAC纺织,1872.56,1.46,26.98,8806964,8383379229.0,2.79,1892.73,1841.24,1849.35,1845.58,1.51
9,930614,环保50,2468.76,1.44,35.07,34756656,101511891412.0,3.94,2498.14,2402.32,2406.57,2433.69,0.86
10,H30198,油气产业,2445.91,1.41,33.89,39897119,33892609136.0,4.29,2460.33,2356.92,2360.64,2412.02,0.88
11,H30051,AMAC文教,2195.35,1.38,29.81,3232373,4137348011.0,3.51,2215.04,2139.08,2157.72,2165.54,1.07
12,H30060,AMAC金属,6273.73,1.26,77.87,24040720,43378752383.0,3.37,6339.38,6130.74,6141.48,6195.86,1.01
13,931733,绿色能源,5348.58,1.25,65.93,32597502,111390514008.0,3.81,5407.44,5206.27,5215.63,5282.65,0.97
14,931248,油气资源,1082.68,1.22,13.03,37013126,31354156996.0,4.36,1089.52,1042.92,1044.95,1069.65,0.89
15,931841,新能车15USD,4696.66,1.18,54.57,8244692,6799451704.7,3.73,4743.76,4570.53,4579.99,4642.09,0.87
16,H30056,AMAC橡胶,5265.97,1.18,61.62,13995169,23985675321.0,3.26,5317.62,5148.0,5171.83,5204.35,0.96
17,931792,新能车15,5258.1,1.16,60.15,8244692,47190231566.0,3.72,5310.33,5117.21,5128.4,5197.95,0.87
18,931259,转债流动性策略,229.8,1.08,2.46,1690725,29736028302.0,2.37,231.0,225.61,226.29,227.34,1.02
19,H50016,沪东北,3662.49,1.0,36.09,19331426,24559486947.0,3.18,3680.99,3565.67,3576.19,3626.4,0.69
20,H50047,180反两,289.02,1.0,2.87,132823298,265723203715.0,3.03,293.9,285.22,292.14,286.15,0.71
21,H30049,AMAC造纸,2477.32,0.93,22.73,9050731,9277197009.0,2.87,2504.16,2433.78,2435.05,2454.59,0.87
22,932077,全指能源行业,2620.04,0.92,23.78,43627635,33000040984.0,3.4,2633.91,2545.61,2547.09,2596.26,0.86
23,H30597,新材料,4367.57,0.91,39.24,23273536,81169285625.0,3.78,4419.62,4255.92,4272.54,4328.33,1.01
24,H50001,180能源,2415.05,0.91,21.83,7240630,10028130297.0,3.01,2422.98,2350.83,2354.53,2393.22,0.81
25,932078,全指材料行业,5373.28,0.81,42.91,202213164,327514683544.0,4.65,5436.5,5188.83,5200.92,5330.37,0.82
26,H30050,AMAC印刷,2334.98,0.81,18.67,1597795,1727939180.0,2.65,2353.39,2292.05,2313.51,2316.31,1.06
27,H30059,AMAC有色,5621.9,0.8,44.75,55099528,95552871538.0,5.31,5687.56,5391.42,5410.06,5577.15,0.83
28,931866,中证机床,1934.79,0.8,15.42,7265146,28055357170.0,3.76,1959.49,1887.39,1897.53,1919.37,0.86
29,931672,风电产业,1936.35,0.76,14.54,19329392,32125045470.0,2.69,1957.81,1906.03,1907.61,1921.81,0.81
30,931078,中证转债及可交换债,555.87,0.74,4.07,4613490,82218233690.0,1.73,558.18,548.65,550.49,551.8,1.0
31,930715,CS朝阳88,16796.99,0.74,122.94,24839301,126492408464.0,3.47,17010.62,16432.2,16501.78,16674.05,0.81
32,H30251,500原料,6699.44,0.73,48.8,37853538,74506569358.0,4.91,6787.16,6460.39,6489.58,6650.64,0.79
