fund_code,asset_type,allocation_ratio
000001,债券,0.2058
000001,其他,0.0025
000001,现金,0.0124
000001,股票,0.7942
000003,债券,0.9304
000003,其他,0.069
000003,现金,0.01
000004,债券,0.9304
000004,其他,0.069
000004,现金,0.01
000005,债券,1.1845
000005,其他,0.0034
000005,现金,0.0061
000006,其他,0.0346
000006,现金,0.1374
000006,股票,0.8364
000008,债券,0.0091
000008,其他,0.9426
000008,现金,0.0498
000008,股票,0.0029
000009,债券,0.731
000009,其他,0.1394
000009,现金,0.2718
000010,债券,0.731
000010,其他,0.1394
000010,现金,0.2718
000011,债券,0.0175
000011,其他,0.0005
000011,现金,0.1394
000011,股票,0.8584
000013,债券,0.731
000013,其他,0.1394
000013,现金,0.2718
000014,债券,1.0058
000014,其他,0.0079
000014,现金,0.008
000014,股票,0.0169
000015,债券,1.2084
000015,其他,0.0031
000015,现金,0.0085
000016,债券,1.2084
000016,其他,0.0031
000016,现金,0.0085
000017,其他,0.0072
000017,现金,0.0665
000017,股票,0.9463
000020,债券,0.0009
000020,其他,0.0023
000020,现金,0.1365
000020,股票,0.886
000021,债券,0.018
000021,其他,0.0059
000021,现金,0.067
000021,股票,0.9192
000024,债券,0.9429
000024,其他,0.0422
000024,现金,0.0624
000025,债券,0.9429
000025,其他,0.0422
000025,现金,0.0624
000028,债券,0.8339
000028,其他,0.1132
000028,现金,0.0073
000028,股票,0.1678
000029,债券,0.1472
000029,其他,0.0019
000029,现金,0.0336
000029,股票,0.8298
000030,其他,0.0021
000030,现金,0.1533
000030,股票,0.8541
000031,债券,0.0565
000031,其他,0.0003
000031,现金,0.0937
000031,股票,0.8554
000032,债券,1.3553
000032,其他,0.0172
000032,现金,0.0236
000033,债券,1.3553
000033,其他,0.0172
000033,现金,0.0236
000037,债券,1.1757
000037,其他,0.0019
000037,现金,0.0018
000039,其他,0.0111
000039,现金,0.1495
000039,股票,0.8454
000041,其他,0.1098
000041,现金,0.0529
000041,股票,0.8491
000042,其他,0.0001
000042,现金,0.0891
000042,股票,0.9325
000043,其他,0.0298
000043,现金,0.074
000043,股票,0.9204
000044,其他,0.0298
000044,现金,0.074
000044,股票,0.9204
000045,债券,0.9971
000045,其他,0.0071
000045,现金,0.004
000045,股票,0.1632
000046,债券,0.9971
000046,其他,0.0071
000046,现金,0.004
000046,股票,0.1632
000047,债券,0.8465
000047,其他,0.012
000047,现金,0.0104
000047,股票,0.1351
000048,债券,0.8465
000048,其他,0.012
000048,现金,0.0104
000048,股票,0.1351
000051,债券,0.0367
000051,其他,0.9692
000051,现金,0.0322
000051,股票,0.0167
000053,债券,0.9771
000053,其他,0.0196
000053,现金,0.004
000054,债券,0.9694
000054,其他,0.0031
000054,现金,0.0526
000054,股票,0.2003
000055,其他,0.9231
000055,现金,0.0819
000056,其他,0.0019
000056,现金,0.4255
000056,股票,0.6979
000057,债券,0.0663
000057,其他,0.0052
000057,现金,0.0262
000057,股票,0.9093
000058,债券,0.6657
000058,其他,0.0148
000058,现金,0.0054
000058,股票,0.3202
000059,债券,0.0014
000059,其他,0.0026
000059,现金,0.0601
000059,股票,0.9464
000061,债券,0.0408
000061,其他,0.0057
000061,现金,0.0381
000061,股票,0.9312
000063,其他,0.0209
000063,现金,0.0565
000063,股票,0.9456
000064,债券,1.4239
000064,其他,0.0074
000064,现金,0.0352
000065,债券,0.6723
000065,其他,0.1044
000065,现金,0.1217
000065,股票,0.2206
000066,其他,0.012
000066,现金,0.0721
000066,股票,0.9381
000067,债券,1.0584
000067,其他,0.0001
000067,现金,0.0109
000068,债券,1.0584
000068,其他,0.0001
000068,现金,0.0109
000069,债券,1.0057
000069,其他,0.0126
000069,现金,0.0107
000070,债券,1.0057
000070,其他,0.0126
000070,现金,0.0107
000071,其他,0.9167
000071,现金,0.0912
000072,债券,0.7076
000072,其他,0.1114
000072,现金,0.0187
000072,股票,0.1685
000073,其他,0.0003
000073,现金,0.1021
000073,股票,0.9061
000074,债券,1.1847
000074,其他,0.1452
