fund_code,stock_code,weight
000001,002371,2.57
000001,002475,2.84
000001,300308,4.57
000001,300502,2.26
000001,601689,2.4
000001,603986,2.05
000001,688019,2.09
000001,688041,2.15
000001,688256,2.46
000001,688347,2.57
000006,000426,0.85
000006,000603,0.9
000006,000975,0.88
000006,002155,0.88
000006,600489,1.14
000006,600547,0.95
000006,600961,1.1
000006,600988,1.05
000006,601899,1.2
000006,601919,1.39
000008,300339,0.01
000008,688114,0.01
000008,688120,0.02
000008,688183,0.02
000008,688213,0.01
000008,688361,0.02
000008,688520,0.01
000008,688525,0.0
000008,688578,0.02
000008,688676,0.01
000011,002315,2.54
000011,002371,3.66
000011,002475,4.43
000011,300308,2.19
000011,300408,2.18
000011,300502,2.63
000011,300750,6.78
000011,601899,3.09
000011,688052,2.32
000011,688088,2.34
000014,002203,0.74
000014,002225,0.68
000014,605020,0.27
000017,002463,7.75
000017,002837,8.51
000017,002916,5.67
000017,300308,6.21
000017,300502,8.31
000017,603129,5.67
000017,603993,5.83
000017,688183,5.71
000017,688256,8.3
000017,688498,5.92
000020,002379,3.07
000020,002475,4.24
000020,300274,4.06
000020,300750,4.17
000020,300953,2.52
000020,600901,3.02
000020,600941,4.76
000020,601138,4.59
000020,601899,5.82
000020,603737,3.05
000021,002371,3.65
000021,002475,2.89
000021,300308,3.23
000021,300593,3.16
000021,300750,3.25
000021,600893,2.21
000021,601689,2.54
000021,688041,1.99
000021,688120,3.18
000021,688256,1.92
000028,000426,0.53
000028,002847,0.56
000028,300308,0.81
000028,300750,0.58
000028,600276,0.49
000028,600489,0.56
000028,688256,0.8
000028,688313,0.47
000028,688401,0.5
000028,688502,0.59
000029,002478,2.11
000029,002545,2.11
000029,002943,2.16
000029,300442,2.22
000029,600673,2.56
000029,601077,3.13
000029,601665,2.04
000029,603881,2.05
000029,688208,2.18
000029,688658,2.2
000030,002138,1.21
000030,002460,1.65
000030,300408,1.04
000030,300750,2.57
000030,600519,2.31
000030,600585,1.31
000030,601318,1.88
000030,601398,1.22
000030,601899,2.0
000030,688333,1.03
000031,002311,4.38
000031,002353,7.29
000031,002475,8.98
000031,002531,4.0
000031,002850,6.77
000031,300750,6.24
000031,300772,5.85
000031,600029,7.01
000031,600176,8.95
000031,601111,6.29
000039,002371,4.31
000039,002384,3.4
000039,002517,5.09
000039,002558,4.78
000039,300308,5.26
000039,300502,5.09
000039,688041,5.24
000039,688072,2.95
000039,688256,5.23
000039,688981,3.39
000041,00700,2.4
000041,01398,1.49
000041,09988,1.78
000041,AAPL,4.11
000041,AMZN,4.16
000041,AVGO,3.64
000041,GOOG,2.5
000041,GOOGL,3.14
000041,META,1.92
000041,MSFT,4.29
000041,NVDA,5.29
000042,000338,1.86
000042,002074,2.0
000042,002236,1.92
000042,002237,0.95
000042,002241,0.93
000042,002415,1.85
000042,002475,2.25
000042,002594,0.97
000042,300274,3.04
000042,300476,0.84
000042,300750,2.04
000042,300759,2.07
000042,600089,2.43
000042,600958,1.87
000042,601609,0.95
000043,AAPL,9.36
000043,AMZN,4.09
000043,AVGO,4.86
000043,GE,2.16
000043,GOOG,3.12
000043,GOOGL,5.89
000043,LLY,2.57
000043,META,3.14
000043,MSFT,7.76
000043,NVDA,9.39
000043,TSLA,3.45
000044,AAPL,9.36
000044,AMZN,4.09
000044,AVGO,4.86
000044,GE,2.16
000044,GOOG,3.12
000044,GOOGL,5.89
000044,LLY,2.57
000044,META,3.14
000044,MSFT,7.76
000044,NVDA,9.39
000044,TSLA,3.45
000045,000807,0.52
000045,002028,0.37
000045,002142,0.38
000045,002475,0.35
000045,300750,0.52
000045,600036,0.39
000045,600183,0.76
000045,601318,0.42
000045,601600,0.4
000045,601899,0.59
000046,000807,0.52
000046,002028,0.37
000046,002142,0.38
000046,002475,0.35
000046,300750,0.52
000046,600036,0.39
000046,600183,0.76
000046,601318,0.42
000046,601600,0.4
000046,601899,0.59
000047,002534,0.72
000047,002600,1.83
000047,002815,1.25
000047,300224,2.7
000047,300839,1.54
000047,300893,0.3
000047,600885,0.85
000047,603228,2.23
000047,603799,2.1
000048,002534,0.72
000048,002600,1.83
000048,002815,1.25
000048,300224,2.7
000048,300839,1.54
000048,300893,0.3
000048,600885,0.85
000048,603228,2.23
000048,603799,2.1
000051,300308,0.04
000051,300750,0.04
000051,600030,0.02
000051,600036,0.04
000051,600519,0.06
000051,601166,0.03
000051,601318,0.06
000051,601899,0.05
000051,688795,0.03
000051,688981,0.02
000054,000333,0.69
000054,600036,0.77
000054,600690,0.6
000054,601088,0.67
000054,601318,1.54
000054,601319,0.62
000054,601398,0.98
000054,601601,1.39
000054,601857,0.56
000054,601899,0.6
000056,000333,6.33
000056,000568,2.95
000056,002594,3.97
000056,600298,3.05
000056,600415,2.98
000056,600418,3.48
000056,600519,6.46
000056,600690,3.0
000056,600809,3.02
000056,601127,2.98
000057,000596,2.18
000057,002345,3.9
000057,002714,2.99
000057,002891,2.07
000057,002946,2.36
000057,300765,2.08
000057,600258,2.31
000057,601689,2.38
000057,605016,2.23
000057,688696,2.05
000058,000651,1.23
000058,600030,1.36
000058,600031,1.93
000058,600690,1.57
000058,600887,1.34
000058,600900,2.67
000058,600941,1.52
000058,601328,3.55
000058,601799,1.49
000058,601939,1.17
000059,001280,0.02
000059,002223,1.04
000059,300347,1.13
000059,300601,1.2
000059,301301,1.25
000059,301656,0.02
000059,600276,1.85
000059,603087,1.05
000059,603127,1.23
000059,688180,1.18
000059,688278,1.26
000059,688578,1.05
000059,688759,0.01
000059,688765,0.02
000059,688795,0.03
000061,002353,4.74
000061,002371,5.05
000061,002837,3.96
000061,300274,2.79
000061,300308,6.26
000061,300502,6.07
000061,300750,4.81
000061,601138,5.83
000061,603308,3.39
000061,688041,4.14
000063,002050,3.57
000063,002371,3.54
000063,002517,5.22
000063,300378,4.42
000063,301171,4.51
000063,688041,4.83
000063,688095,3.57
000063,688111,4.2
000063,688582,3.39
000063,688615,4.97
000065,002353,0.66
000065,002475,0.82
000065,300308,0.59
000065,600115,0.53
000065,600141,0.75
000065,600496,0.68
000065,600583,0.89
000065,600801,0.59
000065,601899,0.69
000065,603699,0.7
000066,000960,6.34
000066,002916,4.23
000066,300395,4.09
000066,600893,3.83
000066,601137,3.8
000066,603124,4.84
000066,603993,7.6
000066,688239,8.18
000066,688256,5.38
000066,688347,5.35
000072,000333,0.35
000072,300750,0.61
000072,600066,0.29
000072,600276,0.34
000072,600426,0.3
000072,600941,0.3
000072,601012,0.31
000072,601088,0.47
000072,601100,0.31
000072,688981,0.45
000073,300308,8.66
000073,300390,4.45
000073,300502,8.63
000073,300750,8.61
000073,601899,6.26
000073,603699,5.2
000073,603979,4.14
000073,603993,6.18
000073,688169,7.46
000073,688578,4.0
000082,002475,2.03
000082,002938,1.52
000082,300274,1.5
000082,300308,1.9
000082,300750,3.7
000082,600036,1.85
000082,600519,2.04
000082,601318,2.78
000082,601899,2.74
000082,603986,2.07
000083,000333,9.63
000083,000568,3.26
000083,000651,6.09
000083,002311,4.97
000083,300866,2.82
000083,600519,6.48
000083,600660,3.05
000083,600690,8.19
000083,603129,2.81
000083,605499,3.0
000107,000975,0.53
000107,002993,0.5
000107,300363,0.42
000107,600004,0.39
000107,600131,0.92
000107,600690,0.53
000107,601216,0.51
000107,603187,0.38
000107,603456,1.09
000107,688084,0.38
000109,000975,0.53
000109,002993,0.5
000109,300363,0.42
000109,600004,0.39
000109,600131,0.92
000109,600690,0.53
000109,601216,0.51
000109,603187,0.38
000109,603456,1.09
000109,688084,0.38
000110,000807,0.56
000110,002379,0.54
000110,600160,0.68
000110,600595,0.59
000110,600801,1.09
000110,601318,1.62
000110,601398,1.54
000110,601857,1.5
000110,601899,0.84
000110,688190,0.74
000117,002315,2.57
000117,002475,3.1
000117,300308,4.18
000117,300750,4.34
000117,600362,2.92
000117,600519,6.58
000117,600988,2.62
000117,601899,4.15
000117,603606,3.37
000117,688012,2.59
000118,002475,0.67
000118,00700,2.02
000118,02318,0.04
000118,09868,0.65
000118,09988,0.63
000118,300124,2.34
000118,300750,1.22
000118,600276,0.66
000118,600519,0.72
000118,601211,0.67
000118,601318,0.68
000119,002475,0.67
000119,00700,2.02
000119,02318,0.04
000119,09868,0.65
000119,09988,0.63
000119,300124,2.34
000119,300750,1.22
000119,600276,0.66
000119,600519,0.72
000119,601211,0.67
000119,601318,0.68
000120,002837,2.1
000120,300274,2.7
000120,300308,5.09
000120,300502,2.05
000120,300750,2.19
000120,600183,3.23
000120,600276,2.68
000120,601100,2.19
000120,601138,7.34
000120,688981,2.52
000121,000425,1.09
000121,002371,2.77
000121,688012,1.21
000121,688041,1.13
000121,688052,1.0
000121,688256,3.85
000121,688361,1.02
000121,688375,0.91
000121,688521,1.07
000121,688981,2.39
000124,002100,7.95
000124,002928,4.01
000124,600029,8.56
000124,600030,3.42
000124,600115,8.38
000124,600958,3.97
000124,601021,6.65
000124,601111,9.5
000124,601211,2.9
000124,603885,7.65
000126,002709,4.76
000126,300124,4.0
000126,300274,7.61
000126,300502,5.3
000126,300750,5.93
000126,600183,3.33
000126,601138,3.01
000126,603799,4.24
000126,688778,4.21
000126,688981,4.34
000127,000568,6.56
000127,000776,4.83
000127,000858,2.89
000127,600030,4.88
000127,600519,6.22
000127,600809,6.51
000127,601318,7.7
000127,601600,2.67
000127,601601,3.79
000127,601899,5.75
000136,002463,3.43
000136,002594,5.64
