fund_code,index_code,effective_weight
000006,000905,0.75
000008,000905,0.95
000011,TFTXIN3U,0.8
000017,000012,0.2
000017,000300,0.8
000020,000300,0.8
000020,中证全债指数,0.2
000021,XIN4,0.8
000029,000300,0.65
000030,000300,0.55
000031,000012,0.2
000031,000300,0.8
000039,000300,0.75
000039,中证全债指数,0.25
000042,000846,0.95
000051,000300,0.95
000056,000300,0.75
000057,000012,0.25
000057,000942,0.75
000058,000012,0.45
000058,000300,0.55
000059,000978,0.95
000061,000012,0.2
000061,000300,0.8
000063,000998,0.5
000063,中证全债指数,0.5
000065,000300,0.6
000066,000300,0.8
000066,中证全债指数,0.2
000072,000300,0.6
000073,000300,0.8
000083,000012,0.2
000083,000931,0.4
000083,000932,0.4
000110,000300,0.2
000117,000300,0.8
000117,中证全债指数,0.2
000120,000300,0.8
000124,000012,0.2
000124,H30074,0.8
000126,000300,0.55
000127,000300,0.75
000127,中证全债指数,0.25
000136,000300,0.6
000165,000300,0.55
000166,000998,0.8
000166,中证全债指数,0.2
000167,000300,0.5
000167,中证全债指数,0.5
000172,000300,0.95
000173,000300,0.8
000173,中证全债指数,0.2
000176,000300,0.95
000190,000300,0.5
000195,000300,0.6
000195,中证全债指数,0.4
000196,000300,0.6
000196,中证全债指数,0.4
000199,000300,0.75
000199,中证全债指数,0.25
000209,000964,0.8
000209,中证全债指数,0.2
000214,000300,0.5
000214,中证全债指数,0.5
000215,000300,0.5
000215,中证全债指数,0.5
000216,SHAU,0.95
000217,SHAU,0.95
000218,黄金现货,0.95
000220,000933,0.8
000241,000012,0.35
000241,000300,0.65
000242,000300,0.5
000242,中证全债指数,0.5
000248,000932,0.95
000251,000012,0.2
000251,000914,0.8
000259,000300,1.0
000259,CSI:H11001,1.0
000263,000012,0.2
000263,000998,0.8
000264,000300,0.6
000264,中证全债指数,0.4
000270,932000,0.9
000273,000300,0.6
000273,HSI,0.15
000279,000012,0.45
000279,000922,0.55
000294,000906,0.8
000307,黄金现货,0.95
000308,000300,0.75
000309,000300,0.85
000311,000300,0.95
000312,000300,0.95
000313,000300,0.95
000314,000300,0.6
000326,000012,0.2
000326,000907,0.8
000327,000012,0.2
000327,000907,0.8
000328,000300,0.8
000336,000300,0.65
000336,中证全债指数,0.35
000339,000933,0.9
000354,000300,0.8
000354,中证全债指数,0.2
000362,000012,0.2
000362,000300,0.8
000363,000012,0.2
000363,000300,0.8
000368,000368,0.95
