fund_code,fund_type,daily_growth_rate
000001,混合型-灵活,-0.45
000003,债券型-混合二级,1.01
000004,债券型-混合二级,1.03
000005,债券型-混合一级,0.07
000006,混合型-偏股,0.2
000008,指数型-股票,0.03
000011,混合型-灵活,-0.72
000014,债券型-混合一级,0.34
000015,债券型-长债,0.04
000016,债券型-长债,0.04
000017,混合型-偏股,-1.65
000020,混合型-偏股,0.11
000021,混合型-偏股,-0.39
000024,债券型-混合一级,0.11
000025,债券型-混合一级,0.1
000028,债券型-混合二级,0.11
000029,混合型-灵活,0.0
000030,混合型-灵活,0.02
000031,混合型-偏股,0.36
000032,债券型-长债,0.04
000033,债券型-长债,0.04
000037,债券型-长债,0.04
000039,混合型-偏股,-1.02
000042,指数型-股票,-0.23
000045,债券型-混合二级,0.0
000046,债券型-混合二级,0.0
000047,债券型-混合一级,0.42
000048,债券型-混合一级,0.42
000051,指数型-股票,-0.51
000053,债券型-长债,0.03
000054,债券型-混合二级,-0.09
000056,混合型-灵活,-1.31
000057,混合型-偏股,-1.15
000058,混合型-灵活,-0.16
000059,指数型-股票,-0.15
000061,混合型-偏股,-0.68
000063,混合型-灵活,-0.64
000064,债券型-长债,
000065,混合型-灵活,0.1
000066,混合型-偏股,-1.09
000067,债券型-混合二级,0.38
000068,债券型-混合二级,0.38
000069,债券型-混合一级,0.09
000070,债券型-混合一级,0.09
000071,指数型-海外股票,-1.14
000072,混合型-灵活,-0.01
000073,混合型-灵活,-0.77
000074,债券型-长债,0.0
000075,指数型-海外股票,-1.16
000076,指数型-海外股票,-1.16
000077,债券型-长债,0.06
000078,债券型-长债,0.04
000079,债券型-长债,0.04
000080,债券型-混合二级,-0.01
000081,债券型-混合二级,-0.01
000082,股票型,-0.13
000083,混合型-偏股,-0.95
000084,债券型-中短债,0.01
000085,债券型-中短债,0.01
000086,债券型-长债,0.02
000089,债券型-中短债,0.01
000090,债券型-中短债,0.01
000104,债券型-混合一级,0.01
000105,债券型-长债,0.0
000106,债券型-长债,0.0
000107,债券型-混合二级,0.0
000109,债券型-混合二级,0.0
000110,混合型-偏债,0.08
000111,债券型-长债,0.0
000112,债券型-长债,0.0
000116,债券型-长债,0.04
000117,混合型-偏股,0.09
000118,债券型-混合二级,-0.11
000119,债券型-混合二级,-0.11
000120,混合型-偏股,-0.2
000121,混合型-偏债,-0.28
000122,债券型-混合一级,0.25
000123,债券型-混合一级,0.24
000124,混合型-偏股,-0.95
000126,混合型-灵活,1.01
000127,混合型-偏股,-0.83
000128,债券型-中短债,0.02
000129,债券型-中短债,0.01
000130,债券型-混合一级,0.07
000131,债券型-混合一级,0.06
000134,债券型-长债,0.04
000136,混合型-灵活,0.22
000137,债券型-长债,0.05
000138,债券型-长债,0.06
000139,债券型-长债,0.01
000141,债券型-长债,0.01
000142,债券型-混合二级,0.06
000143,债券型-混合二级,0.01
000147,债券型-长债,0.02
000148,债券型-长债,0.02
000149,债券型-混合一级,0.04
000150,债券型-混合一级,0.04
000152,债券型-长债,0.06
000153,债券型-长债,0.06
000165,混合型-灵活,0.27
000166,混合型-偏股,-0.25
000167,混合型-灵活,-0.23
000171,债券型-混合二级,-0.26
000172,混合型-偏股,-0.41
000173,混合型-偏股,0.08
000174,债券型-混合一级,0.14
000175,债券型-混合一级,0.14
000176,指数型-股票,-0.28
000181,债券型-混合二级,0.16
000182,债券型-混合二级,0.08
000183,债券型-混合一级,
000184,债券型-混合二级,0.1
000185,债券型-混合二级,0.1
000186,债券型-混合一级,0.05
000187,债券型-长债,0.09
000188,债券型-长债,0.1
000189,债券型-混合二级,0.09
000190,混合型-灵活,0.0
000191,债券型-长债,0.05
000192,债券型-长债,0.05
000194,债券型-长债,0.03
000195,混合型-灵活,-0.39
000196,混合型-灵活,-0.35
000197,债券型-长债,0.03
000199,混合型-偏股,0.21
000200,债券型-中短债,0.04
000201,债券型-长债,
000205,债券型-长债,0.05
000206,债券型-长债,0.05
000207,债券型-混合一级,0.24
000208,债券型-混合一级,0.24
000209,混合型-偏股,-0.02
000212,债券型-长债,
000213,债券型-长债,
000214,混合型-灵活,-0.48
000215,混合型-灵活,-0.05
000216,指数型-其他,-1.12
000217,指数型-其他,-1.12
000218,指数型-其他,-1.1
000219,混合型-灵活,-0.05
000220,混合型-偏股,-0.19
000221,债券型-混合一级,0.01
000222,债券型-混合一级,0.01
000227,债券型-混合一级,
000235,债券型-长债,
000236,债券型-混合二级,-0.05
000239,债券型-混合一级,
000240,债券型-混合一级,
000241,混合型-灵活,-0.41
000242,混合型-灵活,-0.29
000244,债券型-混合一级,
000245,债券型-混合一级,
000248,指数型-股票,-1.09
000251,混合型-偏股,-0.53
000252,债券型-长债,0.05
000253,债券型-长债,0.05
000254,债券型-混合一级,0.16
000255,债券型-混合一级,0.16
000259,混合型-灵活,-0.44
000263,混合型-偏股,-0.69
000264,混合型-灵活,-0.44
000265,债券型-长债,0.03
000266,债券型-长债,0.04
000267,债券型-长债,
000268,债券型-长债,
000270,混合型-灵活,0.77
000271,债券型-长债,
000272,债券型-长债,
000273,混合型-灵活,-1.37
000277,债券型-长债,
000279,混合型-灵活,-0.12
000286,债券型-混合一级,0.1
000289,债券型-混合一级,0.03
000294,混合型-偏股,-0.14
000295,债券型-混合一级,0.04
000296,债券型-混合一级,0.04
000297,债券型-混合二级,0.45
000298,债券型-长债,0.0
000299,债券型-长债,0.0
000305,债券型-长债,0.04
000306,债券型-混合二级,0.03
000307,指数型-其他,-1.13
000308,混合型-偏股,-0.55
000309,股票型,-0.42
000310,债券型-混合一级,0.01
000311,指数型-股票,-0.41
000312,指数型-股票,-0.35
000313,指数型-股票,-0.35
000314,混合型-灵活,-2.32
000319,债券型-混合一级,0.09
000320,债券型-混合一级,0.08
000322,债券型-长债,0.02
000326,股票型,-0.34
000327,混合型-偏股,-0.19
000328,混合型-灵活,-0.17
000329,债券型-混合一级,0.02
000333,债券型-混合二级,0.02
000334,债券型-混合二级,0.02
000335,债券型-混合一级,0.01
000336,混合型-灵活,-0.22
000338,债券型-混合二级,0.02
000339,混合型-偏股,-1.13
000345,债券型-混合一级,
000346,债券型-长债,0.02
000347,债券型-长债,0.02
000351,债券型-长债,0.08
000352,债券型-长债,0.08
000354,混合型-偏股,-0.18
000355,债券型-混合一级,0.03
000356,债券型-混合一级,0.03
000362,混合型-灵活,0.32
000363,混合型-灵活,0.29
000367,混合型-偏债,-0.05
000368,指数型-股票,-0.25
000372,债券型-长债,0.03
000373,指数型-股票,0.07
000376,指数型-股票,0.06
000377,债券型-混合二级,0.07
000378,债券型-混合二级,0.07
000385,债券型-混合二级,-0.05
000386,债券型-混合二级,-0.06
000390,混合型-灵活,-0.41
000394,债券型-中短债,0.0
000395,债券型-长债,0.03
000396,债券型-长债,0.03
000398,混合型-灵活,-0.42
000402,债券型-长债,0.05
000403,债券型-长债,0.04
000404,混合型-灵活,-0.83
000406,债券型-混合二级,0.02
000407,债券型-混合二级,0.02
000408,混合型-灵活,0.66
000409,股票型,1.3
000410,混合型-灵活,-0.44
000411,股票型,-0.86
000414,混合型-绝对收益,0.0
000415,债券型-长债,
000416,债券型-长债,
000417,混合型-灵活,-0.31
000418,股票型,-0.83
000419,债券型-长债,0.04
000420,债券型-长债,0.05
000423,混合型-灵活,0.0
000431,混合型-灵活,0.29
000432,混合型-偏股,-2.12
000433,混合型-灵活,-1.21
000436,混合型-偏债,-0.03
000452,混合型-灵活,-0.16
000457,股票型,0.57
000458,混合型-灵活,-0.73
000459,混合型-灵活,-0.73
000462,混合型-灵活,-0.87
000465,债券型-长债,0.1
000469,债券型-长债,0.05
000471,股票型,-0.57
000477,混合型-灵活,0.23
000478,指数型-股票,0.13
000480,混合型-灵活,-0.22
000487,债券型-中短债,
000488,债券型-中短债,
000496,混合型-灵活,0.07
000497,债券型-长债,0.02
000503,债券型-中短债,0.0
000504,债券型-中短债,0.0
000507,混合型-偏债,0.24
000508,混合型-偏债,0.24
000511,混合型-灵活,-0.72
000512,指数型-股票,-0.56
000513,股票型,-1.06
000516,债券型-长债,0.05
000517,债券型-长债,0.05
000520,混合型-灵活,-0.16
000521,债券型-长债,0.03
000522,混合型-偏股,0.39
000523,混合型-灵活,0.03
000524,股票型,-0.5
000526,混合型-灵活,0.06
000527,混合型-灵活,0.04
000529,混合型-灵活,0.03
000530,混合型-灵活,-0.07
000531,混合型-灵活,-0.54
000532,混合型-偏股,-0.53
000534,混合型-灵活,-0.16
000535,混合型-灵活,-1.07
000536,债券型-混合二级,1.15
000538,混合型-灵活,1.18
000541,混合型-灵活,-0.06
000545,混合型-灵活,0.5
000546,债券型-混合一级,
000547,混合型-偏股,-0.62
000549,股票型,-0.19
000550,混合型-偏股,2.12
000551,混合型-偏股,-0.27
000552,债券型-长债,
000553,债券型-长债,
000554,混合型-灵活,0.2
000556,混合型-灵活,0.22
000557,混合型-灵活,0.22
000561,债券型-长债,0.04
000562,债券型-长债,0.03
000563,债券型-长债,0.05
000564,债券型-长债,0.05
000566,混合型-灵活,0.55
000567,混合型-灵活,0.0
000572,混合型-灵活,-0.07
000573,混合型-灵活,-0.49
000574,混合型-灵活,0.22
000577,股票型,-0.3
000578,债券型-混合二级,0.15
000579,债券型-混合二级,0.15
000583,债券型-混合一级,
000584,混合型-灵活,0.14
000585,混合型-绝对收益,-0.28
000586,股票型,-0.65
000587,混合型-灵活,-0.13
000589,混合型-偏股,-0.54
000590,混合型-灵活,-0.06
000591,混合型-偏股,-0.85
000592,股票型,-0.38
000594,股票型,-0.29
000595,混合型-灵活,-0.47
000596,指数型-股票,-1.64
000597,混合型-灵活,0.07
000598,混合型-灵活,0.35
000601,混合型-偏股,-0.73
000603,混合型-灵活,0.58
000606,债券型-长债,0.02
000609,混合型-灵活,0.04
000612,混合型-偏股,1.91
000613,指数型-股票,-0.51
000619,混合型-灵活,-0.72
000628,股票型,-0.3
000634,混合型-灵活,-0.08
000639,混合型-偏债,-0.06
000646,混合型-偏股,0.44
000649,混合型-灵活,3.06
000652,混合型-灵活,0.02
000654,混合型-灵活,-0.12
000655,债券型-长债,0.06
000656,指数型-股票,-0.49
000663,混合型-灵活,-0.11
000664,混合型-灵活,0.1
000667,混合型-绝对收益,-0.15
000668,债券型-混合一级,0.17
000669,债券型-混合一级,0.18
000672,混合型-绝对收益,-0.08
000673,债券型-混合一级,0.02
000674,债券型-中短债,0.01
000679,混合型-灵活,0.44
000684,混合型-灵活,-0.2
000688,股票型,-0.37
000689,混合型-灵活,-0.02
000690,混合型-灵活,-2.33
000692,债券型-混合二级,-0.02
000694,债券型-中短债,0.06
000696,股票型,1.12
000697,股票型,-1.03
000698,混合型-灵活,0.95
000706,混合型-灵活,-0.38
000711,股票型,0.38
000714,混合型-灵活,-1.07
000715,债券型-中短债,0.01
000717,混合型-灵活,-0.2
000720,债券型-长债,0.02
000727,混合型-灵活,0.07
000728,债券型-混合一级,0.0
000729,股票型,-0.51
000736,债券型-长债,0.01
000737,债券型-长债,0.01
000739,混合型-灵活,0.61
000742,混合型-灵活,-0.72
000743,混合型-灵活,-0.09
000744,债券型-长债,0.0
000745,债券型-长债,0.08
000746,股票型,-0.39
000747,混合型-灵活,-0.47
000751,股票型,-0.52
000753,混合型-绝对收益,-0.31
000754,混合型-绝对收益,-0.3
000755,混合型-灵活,-0.57
000756,股票型,-1.08
000757,混合型-灵活,-1.66
000761,股票型,-0.02
000762,混合型-绝对收益,-0.24
000763,混合型-灵活,-0.92
000767,混合型-灵活,-1.61
000772,混合型-灵活,-1.17
000778,股票型,-1.29
000780,股票型,-0.43
000783,债券型-长债,0.01
000784,债券型-长债,0.02
000788,混合型-灵活,-0.17
000791,债券型-中短债,0.01
000792,债券型-中短债,0.0
000793,股票型,-0.14
000794,混合型-灵活,3.31
000796,混合型-灵活,3.34
000799,债券型-长债,0.0
000800,混合型-偏股,0.16
000801,债券型-混合一级,0.02
000802,债券型-混合一级,0.02
000803,股票型,-0.44
000804,混合型-偏债,0.22
000805,混合型-灵活,0.12
000808,债券型-中短债,0.01
000809,债券型-中短债,0.01
000810,债券型-混合二级,0.28
000812,债券型-混合二级,0.22
000814,债券型-长债,0.07
000815,债券型-长债,0.07
000817,债券型-长债,
000822,混合型-灵活,0.29
000823,混合型-灵活,-0.84
000824,混合型-灵活,-0.24
000825,混合型-灵活,-0.24
000826,指数型-股票,0.28
000827,指数型-股票,0.28
000828,股票型,0.04
000831,股票型,0.21
000833,债券型-长债,0.03
000835,指数型-股票,-0.64
000839,债券型-长债,0.05
000840,债券型-长债,0.05
000841,混合型-灵活,-0.22
000843,混合型-灵活,-0.22
000844,混合型-绝对收益,-0.08
000845,混合型-灵活,-0.47
000849,混合型-灵活,0.26
000850,混合型-灵活,0.26
000854,股票型,-0.42
000866,股票型,1.24
000867,股票型,-1.49
000870,混合型-灵活,0.0
000875,债券型-混合二级,-0.02
000876,债券型-混合二级,-0.02
