序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
1,000001,上证指数,4065.58,-0.25,-10.34,556709801,898655032959.0,1.6,4095.03,4029.97,4040.3,4075.92,0.81
2,399001,深证成指,13906.73,-0.33,-45.98,730349548,1247064306607.4548,2.43,14065.78,13726.86,13801.03,13952.71,0.9
3,899050,北证50,1520.89,0.9,13.6,7390638,17910112544.0,2.65,1537.69,1497.82,1500.03,1507.29,0.8
4,399006,创业板指,3236.46,-0.73,-23.82,218119516,566546632643.1,2.73,3288.03,3199.14,3222.88,3260.28,0.9
5,000680,科创综指,1753.61,-0.34,-6.07,40100652,200592162562.0,2.42,1775.5,1732.85,1740.81,1759.68,0.83
6,000688,科创50,1422.41,-0.71,-10.11,13035099,62257704857.0,2.44,1440.81,1405.87,1415.05,1432.52,0.9
7,399330,深证100,5766.65,-0.64,-37.08,47653540,208715114761.95,1.89,5828.43,5718.73,5745.15,5803.73,0.75
8,000300,沪深300,4643.6,-0.57,-26.82,202716477,505759806237.8,1.53,4678.26,4606.64,4622.97,4670.42,0.73
9,000016,上证50,3037.86,-0.69,-21.15,46789818,133605955584.0,1.32,3056.0,3015.63,3027.17,3059.01,0.69
10,399673,创业板50,3385.75,-0.82,-27.83,29993513,179672404971.89,2.84,3443.45,3346.44,3372.47,3413.58,0.83
11,000888,上证综合全收益,4662.02,-0.23,-10.84,556709801,898655032959.0,1.6,4695.79,4621.19,4633.03,4672.86,0.81
12,399750,深主板50,9059.46,-0.65,-59.54,30562882,62227256029.01,1.11,9123.03,9022.24,9063.31,9119.0,0.7
13,899601,北证专精特新,2545.72,0.53,13.34,1280356,5341907282.0,2.28,2570.14,2512.39,2513.72,2532.38,0.89
14,930050,中证A50,1785.14,-0.58,-10.47,42642694,160341993691.0,1.53,1798.26,1770.75,1777.03,1795.61,0.7
15,000903,中证A100,4534.92,-0.51,-23.32,88705890,273586877601.6,1.73,4570.8,4492.07,4505.64,4558.24,0.67
16,000510,中证A500,5792.01,-0.44,-25.59,322022011,781919095621.4,1.96,5843.66,5729.5,5751.53,5817.6,0.75
17,000904,中证200,5913.62,-0.18,-10.55,115116915,259757828197.0,2.22,5962.98,5831.32,5854.11,5924.17,0.74
18,000905,中证500,8146.41,0.0,0.3,218642144,418373434780.9,2.86,8247.3,8014.66,8054.22,8146.11,0.78
19,000906,中证800,5246.45,-0.41,-21.51,421358622,924133241018.7,1.87,5291.78,5193.15,5212.75,5267.96,0.75
20,000852,中证1000,8051.57,-0.2,-16.51,281083563,444590291967.1,2.51,8152.32,7950.01,7980.47,8068.08,0.9
21,932000,中证2000,3452.79,0.42,14.58,346409480,500452388867.0,2.44,3487.88,3404.12,3413.66,3438.21,0.95
22,000985,中证全指,6161.61,-0.24,-14.52,1263385587,2124059927039.0,2.03,6218.09,6092.7,6115.08,6176.13,0.86
23,000010,上证180,10177.37,-0.5,-51.61,132823298,265723203715.0,1.52,10245.28,10090.11,10121.61,10228.98,0.71
24,000009,上证380,7133.6,-0.12,-8.76,116664582,214373047435.0,2.36,7213.66,7045.22,7063.92,7142.36,0.75
25,000132,上证100,6345.76,-0.44,-28.26,12730787,45027037056.0,2.06,6409.52,6278.11,6301.81,6374.02,0.78
26,000133,上证150,7418.65,0.05,3.99,20268299,48576292768.0,2.75,7514.11,7310.23,7330.31,7414.66,0.9
27,000003,Ｂ股指数,262.93,-0.28,-0.74,175538,75466242.0,0.77,264.12,262.09,263.34,263.67,0.53
28,000012,国债指数,225.63,0.08,0.17,36389331,36297004677.0,0.07,225.64,225.48,225.48,225.46,0.92
29,000013,企债指数,303.6,0.01,0.02,3271091,3258931745.0,0.0,303.6,303.6,303.6,303.58,0.37
30,000011,基金指数,7171.75,-0.1,-7.09,1255305945,454520942140.0,0.31,7182.12,7160.17,7165.38,7178.84,0.84
31,399002,深成指R,18677.73,-0.33,-61.75,511862061,680438743586.77,2.43,18891.34,18436.15,18535.77,18739.48,0.91
32,399850,深证50,8869.87,-0.89,-79.86,30360653,136629703058.3,1.84,8973.75,8808.84,8866.3,8949.73,0.76
33,399005,中小100,8447.99,0.28,24.0,51727087,137272319136.43,2.87,8535.4,8293.78,8339.25,8423.99,0.85
34,399003,成份Ｂ指,8241.12,-0.09,-7.72,367971,78930377.5847,0.91,8260.34,8185.68,8252.47,8248.84,1.52
35,399106,深证综指,2649.57,-0.04,-1.08,730349548,1247064306607.4548,2.39,2677.45,2614.22,2626.02,2650.65,0.9
36,399004,深证100R,8204.99,-0.64,-52.77,47653540,208715114761.95,1.89,8292.9,8136.81,8174.41,8257.76,0.75
37,399007,深证300,5805.37,-0.42,-24.38,154517945,427984805749.24,2.36,5869.88,5732.4,5765.1,5829.75,0.79
38,399008,中小300,1710.59,0.29,4.88,146527023,254656929861.56,2.98,1729.51,1678.65,1688.42,1705.71,0.92
39,399293,创业大盘,6317.77,-1.21,-77.16,16773505,138971190486.31,2.72,6422.81,6248.99,6313.98,6394.93,0.83
40,399019,创业200,4722.22,-0.33,-15.45,49587031,109004593802.63,2.82,4791.92,4658.54,4691.46,4737.67,0.88
41,399020,创业小盘,1922.85,0.09,1.71,42728384,90894145353.61,2.77,1948.13,1894.97,1906.25,1921.14,0.85
42,399100,新指数,12467.39,-0.07,-8.45,712566845,1236257186069.69,2.38,12599.08,12302.75,12358.87,12475.84,0.9
43,399550,央视50,8336.52,-0.7,-58.81,27563931,77220284663.68,0.85,8390.01,8318.51,8352.49,8395.33,0.8
