index_code,stock_code,weight
930598,000612,1.649
930598,000758,1.406
930598,000795,0.899
930598,000831,5.131
930598,000969,2.244
930598,000970,1.777
930598,002056,2.091
930598,002057,0.729
930598,002202,7.114
930598,002240,3.316
930598,002249,2.308
930598,002340,5.148
930598,002600,4.206
930598,002645,0.747
930598,002805,0.399
930598,2056,2.091
930598,2057,0.729
930598,2202,7.114
930598,2240,3.316
930598,2249,2.308
930598,2340,5.148
930598,2600,4.206
930598,2645,0.747
930598,2805,0.399
930598,300066,0.675
930598,300127,0.584
930598,300224,1.244
930598,300340,0.291
930598,300748,3.283
930598,300811,1.748
930598,301141,0.379
930598,301622,0.302
930598,600010,4.438
930598,600111,14.212
930598,600206,1.679
930598,600259,2.385
930598,600366,1.386
930598,600392,4.828
930598,600416,1.613
930598,600478,1.19
930598,600549,6.6
930598,600580,4.324
930598,600980,0.355
930598,601600,5.432
930598,601609,1.311
930598,601908,0.709
930598,603072,0.444
930598,612,1.649
930598,688077,0.302
930598,688190,0.597
930598,688737,0.212
930598,758,1.406
930598,795,0.899
930598,831,5.131
930598,920505,0.128
930598,920807,0.187
930598,969,2.244
930598,970,1.777
930599,000021,0.275
930599,000063,0.962
930599,000066,0.238
930599,000100,0.783
930599,000157,0.338
930599,000338,0.997
930599,000425,0.783
930599,000625,0.428
930599,000725,1.245
930599,000733,0.164
930599,000738,0.15
930599,000768,0.305
930599,000800,0.079
930599,000977,0.502
930599,000988,0.604
930599,000997,0.15
930599,001696,0.127
930599,002008,0.308
930599,002028,0.893
930599,002049,0.443
930599,002074,0.319
930599,002085,0.177
930599,002129,0.236
930599,002130,0.264
930599,002152,0.124
930599,002156,0.49
930599,002179,0.338
930599,002180,0.164
930599,002185,0.302
930599,002202,0.489
930599,002236,0.29
930599,002241,0.501
930599,002265,0.058
930599,002273,0.257
930599,002281,0.272
930599,002340,0.356
930599,002353,0.421
930599,002371,1.596
930599,002384,0.769
930599,002414,0.22
930599,002415,0.891
930599,002444,0.192
930599,002459,0.174
930599,002463,0.728
930599,002465,0.269
930599,002472,0.219
930599,002475,2.044
930599,002594,1.916
930599,002595,0.259
930599,002600,0.415
930599,002625,0.555
930599,002709,0.45
930599,002812,0.233
930599,002837,0.482
930599,002841,0.128
930599,002850,0.23
930599,002916,0.483
930599,002920,0.283
930599,002938,0.308
930599,003021,0.087
930599,100,0.783
930599,157,0.338
930599,1696,0.127
930599,2008,0.308
930599,2028,0.893
930599,2049,0.443
930599,2074,0.319
930599,2085,0.177
930599,21,0.275
930599,2129,0.236
930599,2130,0.264
930599,2152,0.124
930599,2156,0.49
930599,2179,0.338
930599,2180,0.164
930599,2185,0.302
930599,2202,0.489
930599,2236,0.29
930599,2241,0.501
930599,2265,0.058
930599,2273,0.257
930599,2281,0.272
930599,2340,0.356
930599,2353,0.421
930599,2371,1.596
930599,2384,0.769
930599,2414,0.22
930599,2415,0.891
930599,2444,0.192
930599,2459,0.174
930599,2463,0.728
930599,2465,0.269
930599,2472,0.219
930599,2475,2.044
930599,2594,1.916
930599,2595,0.259
930599,2600,0.415
930599,2625,0.555
930599,2709,0.45
930599,2812,0.233
930599,2837,0.482
930599,2841,0.128
930599,2850,0.23
930599,2916,0.483
930599,2920,0.283
930599,2938,0.308
930599,300014,0.616
930599,300037,0.206
930599,300115,0.285
930599,300124,1.094
930599,300207,0.269
930599,300223,0.377
930599,300274,1.7
930599,300308,5.594
930599,300316,0.226
930599,300373,0.22
930599,300394,0.899
930599,300408,0.52
930599,300433,0.562
930599,300450,0.491
930599,300458,0.206
930599,300474,0.211
930599,300476,1.251
930599,300502,3.234
930599,300604,0.439
930599,300623,0.136
930599,300628,0.151
930599,300661,0.255
930599,300750,7.18
930599,300782,0.227
930599,300857,0.428
930599,300866,0.166
930599,300919,0.199
930599,301165,0.06
930599,301269,0.174
930599,301308,0.437
930599,301358,0.223
930599,301536,0.091
930599,3021,0.087
930599,302132,0.177
930599,338,0.997
930599,425,0.783
930599,600031,1.009
930599,600038,0.116
930599,600066,0.318
930599,600089,1.066
930599,600104,0.504
930599,600118,0.419
930599,600150,1.175
930599,600183,0.65
930599,600372,0.291
930599,600406,0.785
930599,600418,0.741
930599,600438,0.381
930599,600460,0.302
930599,600482,0.228
930599,600487,0.536
930599,600498,0.251
930599,600517,0.089
930599,600522,0.473
930599,600562,0.112
930599,600563,0.114
930599,600580,0.373
930599,600584,0.549
930599,600660,0.767
930599,600699,0.212
930599,600703,0.438
930599,600741,0.235
930599,600745,0.266
930599,600760,0.363
930599,600765,0.16
930599,600862,0.156
930599,600875,0.235
930599,600879,0.527
930599,600885,0.276
930599,600893,0.479
930599,601012,0.841
930599,601058,0.323
930599,601100,0.451
930599,601127,0.659
930599,601138,1.778
930599,601179,0.288
930599,601231,0.174
930599,601238,0.136
930599,601567,0.129
930599,601615,0.326
930599,601633,0.2
930599,601689,0.487
930599,601727,0.426
930599,601766,0.595
930599,601799,0.153
930599,601865,0.095
930599,601877,0.244
930599,603019,1.019
930599,603049,0.037
930599,603160,0.175
930599,603228,0.245
930599,603296,0.272
930599,603298,0.113
930599,603338,0.11
930599,603501,0.796
930599,603596,0.17
930599,603659,0.23
930599,603728,0.113
930599,603806,0.138
930599,603893,0.312
930599,603986,1.631
930599,605117,0.237
930599,625,0.428
930599,63,0.962
930599,66,0.238
930599,688002,0.323
930599,688008,1.615
930599,688009,0.11
930599,688012,1.183
930599,688027,0.299
930599,688036,0.26
930599,688041,1.907
930599,688047,0.26
930599,688072,0.462
930599,688082,0.141
930599,688099,0.229
930599,688120,0.363
930599,688172,0.103
930599,688183,0.171
930599,688187,0.116
930599,688188,0.136
930599,688213,0.211
930599,688220,0.173
930599,688223,0.197
930599,688249,0.285
930599,688256,2.059
930599,688297,0.102
930599,688303,0.121
930599,688349,0.049
930599,688361,0.302
930599,688375,0.176
930599,688396,0.263
930599,688469,0.296
930599,688472,0.175
930599,688475,0.037
930599,688521,0.634
930599,688525,0.475
930599,688538,0.114
930599,688599,0.204
930599,688608,0.202
930599,688702,0.148
930599,688728,0.097
930599,688777,0.412
930599,688819,0.036
930599,688981,1.907
930599,725,1.245
930599,733,0.164
930599,738,0.15
930599,768,0.305
930599,800,0.079
930599,920185,0.082
930599,977,0.502
930599,988,0.604
930599,997,0.15
930601,002065,2.273
930601,002153,1.094
930601,002230,14.386
930601,002261,4.167
930601,002405,2.616
930601,002410,2.373
930601,002439,1.077
930601,2065,2.273
930601,2153,1.094
930601,2230,14.386
930601,2261,4.167
930601,2405,2.616
930601,2410,2.373
930601,2439,1.077
930601,300033,7.832
930601,300253,2.044
930601,300339,4.158
930601,300383,2.305
930601,300454,4.234
930601,300496,2.894
930601,300682,1.168
930601,300803,4.648
930601,301236,3.347
930601,600536,2.64
930601,600570,4.913
930601,600588,3.25
930601,600845,2.05
930601,601360,4.436
930601,603613,1.426
930601,688088,1.283
930601,688111,8.145
930601,688318,1.081
930601,688343,2.406
930601,688561,1.059
930601,688568,2.983
930601,688615,2.039
930601,688692,1.671
930606,000655,0.774
930606,000708,4.084
930606,000709,2.557
930606,000717,0.785
930606,000761,0.66
930606,000778,2.959
930606,000825,2.936
930606,000898,1.553
930606,000923,2.721
930606,000932,5.336
930606,000959,2.163
930606,001203,3.18
930606,002075,2.491
930606,002110,1.332
930606,002132,1.091
930606,002318,5.668
930606,002443,0.892
930606,002478,1.536
930606,002722,0.518
