代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时点,市盈率,市净率,流通市值,总市值,换手率
sh688001,华兴源创,31.81,0.39,1.241,31.78,31.81,31.42,30.92,32.07,30.92,3388926,107221430,15:00:01,-28.15,4.08,1413922.190583,1413922.190583,0.76243
sh688002,睿创微纳,110.0,-2.97,-2.629,110.0,110.01,112.97,112.15,113.28,109.91,7029405,782223543,15:34:59,85.938,8.426,5062621.619,5062621.619,1.52734
sh688003,天准科技,75.2,-1.46,-1.905,75.19,75.2,76.66,75.39,78.05,75.0,2637206,200825286,15:00:01,115.71,7.83,1461290.16,1461290.16,1.35714
sh688004,博汇科技,23.9,0.0,0.0,23.9,23.92,23.9,23.74,24.2,23.5,1647081,39415897,15:00:03,-49.792,3.243,191410.32,191410.32,2.05659
sh688005,容百科技,30.07,1.03,3.547,30.07,30.08,29.04,28.91,30.8,28.65,26394064,791909498,15:34:59,71.595,2.651,2149179.48829,2148858.587264,3.69345
sh688006,杭可科技,30.91,0.85,2.828,30.9,30.91,30.06,29.52,31.5,29.22,10327672,317006499,15:00:01,57.241,3.408,1865950.621832,1865950.621832,1.71081
sh688007,光峰科技,16.98,-0.2,-1.164,16.98,16.99,17.18,17.0,17.28,16.84,4721716,80698936,15:00:01,283.0,3.03,780427.34823,780427.34823,1.02732
sh688008,澜起科技,163.54,-4.61,-2.742,163.54,163.55,168.15,165.0,166.96,162.8,31515210,5193818869,15:34:59,130.832,15.293,18748659.324434,18748659.324434,2.749
sh688009,中国通号,5.62,-0.01,-0.178,5.61,5.62,5.63,5.6,5.68,5.57,29330424,165153132,15:00:03,17.563,1.292,5951478.278,4845012.116,0.34022
sh688010,福光股份,28.9,0.06,0.208,28.9,28.95,28.84,28.83,29.4,28.6,2211530,64238739,15:00:03,478.477,2.764,464022.96042,464022.96042,1.37737
sh688011,新光光电,65.75,-1.93,-2.852,65.75,65.76,67.68,67.68,67.68,65.15,1108456,73399637,15:00:03,-96.691,6.145,657500.0,655281.088725,1.11221
sh688012,中微公司,349.2,-7.68,-2.152,349.2,349.37,356.88,352.48,360.0,348.82,9194775,3254095013,15:34:59,133.793,10.183,21864994.12044,21864994.12044,1.46847
sh688013,天臣医疗,42.54,0.61,1.455,42.41,42.54,41.93,42.29,43.35,41.7,1109279,47262066,15:00:03,65.446,5.758,345235.9224,345235.9224,1.36685
sh688015,交控科技,24.65,0.22,0.901,24.65,24.68,24.43,24.45,24.82,23.75,1409387,34572818,15:34:59,56.023,1.792,465098.02903,465098.02903,0.74697
sh688016,心脉医疗,97.98,-1.27,-1.28,97.97,97.98,99.25,99.39,99.69,97.93,1181334,116637911,15:00:03,24.074,3.052,1207722.222366,1207722.222366,0.95839
sh688017,绿的谐波,217.4,12.28,5.987,217.4,217.41,205.12,202.0,224.68,198.48,12221114,2616926611,15:34:59,654.622,11.367,3985596.9175,3985596.9175,6.66618
sh688018,乐鑫科技,161.82,0.29,0.18,161.82,161.83,161.53,160.02,164.47,158.75,2113300,343315036,15:00:03,52.388,6.265,2704708.18782,2535763.447404,1.3486
sh688019,安集科技,261.2,1.07,0.411,261.2,262.0,260.13,260.14,269.62,257.58,2420875,636688051,15:00:03,63.092,13.256,4402851.194,4402851.194,1.43619
sh688020,方邦股份,84.0,-1.18,-1.385,83.95,84.0,85.18,86.12,87.46,80.6,2549469,213152225,15:00:03,-73.684,5.003,691933.2,691933.2,3.09503
sh688021,奥福科技,23.8,0.2,0.847,23.77,23.8,23.6,23.37,24.18,23.02,1655511,39216083,15:00:03,-40.339,2.12,181864.64646,181864.64646,2.16651
sh688022,瀚川智能,15.85,0.43,2.789,15.84,15.85,15.42,15.33,16.06,15.26,5099184,80454348,15:00:03,-2.528,4.024,278767.14354,278767.14354,2.89927
sh688023,安恒信息,54.43,0.03,0.055,54.42,54.43,54.4,54.4,56.0,53.61,3000716,164518988,15:00:01,-28.057,2.447,555542.761435,555542.761435,2.93999
sh688025,杰普特,177.29,-0.39,-0.219,177.29,177.5,177.68,173.5,184.5,170.05,5616689,1002699920,15:00:03,126.636,7.64,1685131.220367,1685131.220367,5.90923
sh688026,洁特生物,18.4,0.07,0.382,18.38,18.4,18.33,18.21,18.68,18.14,1564721,28819245,15:00:03,35.385,2.333,258270.3948,258187.92232,1.11511
sh688027,国盾量子,668.58,-0.43,-0.064,668.58,668.96,669.01,654.0,692.0,648.66,4110619,2774495175,15:00:00,-1671.45,21.402,6877080.804858,5373669.62946,5.11434
sh688028,沃尔德,85.85,0.08,0.093,85.83,85.85,85.77,85.57,88.3,82.72,4916572,421398346,15:00:03,131.51,6.607,1295897.165,1295897.165,3.25711
sh688029,南微医学,81.05,0.05,0.062,81.05,81.1,81.0,81.04,82.3,80.0,1304073,106221060,15:00:03,27.475,3.739,1522503.35531,1522503.35531,0.69422
sh688030,山石网科,17.4,-0.18,-1.024,17.4,17.42,17.58,17.66,17.73,17.26,2535037,44446229,15:00:03,-22.856,3.766,313610.30592,313610.30592,1.40651
sh688031,星环科技,178.02,-5.5,-2.997,178.02,178.03,183.52,182.94,184.9,176.0,4003595,724763348,15:00:03,-62.683,24.109,2156461.576632,2156461.576632,3.30504
sh688032,禾迈股份,109.11,0.67,0.618,109.11,109.12,108.44,107.44,110.72,106.09,1474655,161021232,15:00:03,39.108,2.321,1353766.449495,1353766.449495,1.18853
sh688033,天宜新材,8.08,0.07,0.874,8.07,8.08,8.01,7.91,8.17,7.88,11339815,91248561,15:34:59,-3.049,1.378,454256.465568,454256.465568,2.01705
sh688035,德邦科技,49.9,-0.21,-0.419,49.9,49.93,50.11,49.61,50.79,49.43,2228682,111937679,15:00:01,72.319,3.066,709777.6,709777.6,1.56685
sh688036,传音控股,60.5,-0.83,-1.353,60.5,60.51,61.33,60.66,61.29,60.1,8153900,495421282,15:00:01,12.347,3.459,6964666.49725,6964666.49725,0.70831
sh688037,芯源微,203.0,-4.03,-1.947,202.88,203.0,207.03,205.79,209.05,202.22,6103361,1258729205,15:34:59,200.99,15.124,4093034.1088,4093034.1088,3.02705
sh688038,中科通达,22.55,0.6,2.733,22.54,22.55,21.95,21.8,23.07,21.55,5345047,121103990,15:00:03,-140.938,4.436,262422.017,262422.017,4.59301
sh688039,当虹科技,52.28,-0.06,-0.115,52.27,52.28,52.34,51.98,53.14,51.19,2672362,139539585,15:00:03,-57.451,5.205,578224.244672,578224.244672,2.41621
sh688041,海光信息,242.68,4.51,1.894,242.63,242.68,238.17,235.8,247.54,232.58,20362793,4902853725,15:34:59,292.386,25.761,56407036.792388,56407036.792388,0.87607
sh688045,必易微,48.45,-1.4,-2.808,48.45,48.47,49.85,49.66,49.66,48.33,2316435,113402798,15:00:03,-193.8,2.447,338364.233055,338364.233055,3.31688
sh688046,药康生物,17.4,0.11,0.636,17.38,17.4,17.29,17.26,17.87,17.01,3634841,63607877,15:00:03,64.444,3.241,713400.0,713400.0,0.88655
sh688047,龙芯中科,158.2,3.92,2.541,158.18,158.2,154.28,152.32,159.35,150.13,7709456,1200223902,15:34:59,-101.41,24.822,6343820.0,6343820.0,1.92256
sh688048,长光华芯,132.96,6.71,5.315,132.95,132.96,126.25,122.1,137.5,122.01,12600553,1663470246,15:00:01,-234.249,7.799,2343818.122128,2343818.122128,7.14804
sh688049,炬芯科技,51.48,0.28,0.547,51.48,51.5,51.2,50.99,52.18,50.49,3947670,203364134,15:00:03,69.568,4.556,901763.0622,901763.0622,2.25365
sh688050,爱博医疗,60.26,-0.47,-0.774,60.25,60.26,60.73,60.56,60.86,60.13,2087665,126226569,15:00:03,29.395,4.147,1165447.53255,1165447.53255,1.07944
sh688051,佳华科技,35.78,0.4,1.131,35.77,35.78,35.38,35.55,36.15,35.01,856286,30623431,15:00:03,-26.902,4.24,276701.052,276701.052,1.10726
sh688052,纳芯微,174.17,-6.84,-3.779,174.17,174.21,181.01,177.7,179.78,174.11,2254444,396809521,15:00:01,-60.899,4.821,2832412.332561,2482417.717561,1.58175
sh688053,ST思科瑞,44.09,-0.68,-1.519,44.09,44.11,44.77,44.77,44.99,43.72,1133483,50332003,15:00:03,-209.952,2.741,440900.0,440900.0,1.13348
sh688055,龙腾光电,3.79,0.02,0.531,3.79,3.8,3.77,3.75,3.82,3.73,8720887,33041440,15:00:01,-66.491,3.075,1263333.3586,1263333.3586,0.26163
sh688056,莱伯泰科,36.88,-0.19,-0.513,36.82,36.88,37.07,36.76,37.29,36.16,577040,21328361,15:00:03,62.508,3.093,248764.67248,248764.67248,0.85548
sh688057,金达莱,12.93,0.05,0.388,12.92,12.93,12.88,12.86,13.04,12.77,2023551,26210265,15:00:03,26.079,1.131,356868.0,356868.0,0.73317
sh688058,宝兰德,31.8,0.24,0.76,31.8,31.96,31.56,31.53,32.38,31.22,1351195,43195652,15:00:01,-40.253,3.789,241160.20992,241160.20992,1.78172
sh688059,华锐精密,99.23,0.68,0.69,99.08,99.23,98.55,97.57,100.45,95.37,1988101,196496301,15:00:03,57.358,7.485,992168.698864,928580.110418,2.12453
sh688060,云涌科技,46.58,0.43,0.932,46.45,46.58,46.15,45.66,47.24,45.55,548183,25526376,15:00:03,-79.624,3.113,280368.411024,280368.411024,0.91074
sh688061,灿瑞科技,35.21,-0.25,-0.705,35.14,35.21,35.46,35.39,35.63,34.83,801336,28256152,15:00:01,-76.543,1.699,404525.545711,158519.321268,1.77991
sh688062,迈威生物,35.8,-0.26,-0.721,35.79,35.8,36.06,36.09,36.75,35.62,5429570,196413760,15:00:03,-13.716,18.796,1430568.0,730928.6,2.65934
sh688063,派能科技,61.4,0.78,1.287,61.4,61.41,60.62,60.0,62.67,59.51,5759851,353241774,15:34:59,361.176,1.647,1506505.78886,1506505.78886,2.34752
sh688065,凯赛生物,54.21,-0.19,-0.349,54.21,54.31,54.4,54.17,55.12,53.23,3903659,212691707,15:00:01,64.536,2.222,3910111.973274,3162492.349419,0.66915
sh688066,航天宏图,23.62,-0.49,-2.032,23.61,23.62,24.11,24.0,24.4,23.51,16901993,403103451,15:00:03,-4.432,14.722,617138.095102,617138.095102,6.46897
sh688067,爱威科技,28.46,0.69,2.485,28.35,28.46,27.77,27.95,28.8,27.56,1680898,47609476,15:00:03,83.706,3.733,193528.0,193528.0,2.47191
sh688068,热景生物,136.05,-0.12,-0.088,136.02,136.05,136.17,135.08,141.28,132.91,1784145,245199481,15:00:01,-64.175,4.301,1261291.5237,1261291.5237,1.92448
sh688069,德林海,24.91,0.5,2.048,24.91,24.99,24.41,24.38,25.4,24.04,1446775,35983491,15:00:03,-31.936,2.263,281483.0,281483.0,1.28033
sh688070,纵横股份,58.1,-0.08,-0.138,58.1,58.17,58.18,58.37,59.37,57.0,1748581,102076988,15:00:01,-141.707,8.45,508839.8,508839.8,1.99655
sh688071,华依科技,39.89,1.09,2.809,39.89,39.91,38.8,38.46,40.99,37.84,4491869,178549830,15:00:03,-72.527,3.194,338226.209036,338226.209036,5.29766
sh688072,拓荆科技,330.33,0.66,0.2,330.12,330.33,329.67,328.44,338.0,323.33,4033946,1339917854,15:00:01,133.198,15.297,9326699.147766,9326699.147766,1.42873
sh688073,毕得医药,61.55,-0.03,-0.049,61.55,61.64,61.58,62.08,62.48,60.0,1106924,68065560,15:34:59,46.629,2.793,559384.54494,266106.32866,2.5603
sh688075,安旭生物,39.58,-0.23,-0.578,39.58,39.59,39.81,39.91,39.99,39.55,799711,31829993,15:00:03,26.212,0.974,502993.74219,502993.74219,0.62928
sh688076,ST诺泰,34.8,-0.34,-0.968,34.8,34.81,35.14,34.95,35.28,34.61,2318822,80983158,15:00:03,18.511,3.537,1099860.60156,1099860.60156,0.73368
sh688077,大地熊,32.36,0.7,2.211,32.35,32.36,31.66,31.15,32.8,31.15,3248545,104856484,15:00:03,115.571,3.412,370452.438944,370452.438944,2.83769
sh688078,龙软科技,28.7,-0.03,-0.104,28.7,28.72,28.73,28.73,29.4,28.39,699462,20239570,15:00:03,62.391,2.914,209202.91,209202.91,0.95957
sh688079,美迪凯,13.39,0.47,3.638,13.39,13.4,12.92,12.98,13.72,12.76,11163599,148974589,15:00:03,-51.5,4.217,550634.610682,541039.443802,2.76284
sh688080,映翰通,57.45,-0.39,-0.674,57.33,57.45,57.84,57.11,58.32,56.71,1569101,90370255,15:00:03,32.642,3.769,423154.47834,423154.47834,2.13031
sh688081,兴图新科,39.0,1.36,3.613,38.99,39.0,37.64,37.45,39.77,37.07,3004155,116301657,15:00:03,-49.367,10.272,401856.0,401856.0,2.91552
sh688082,盛美上海,177.01,-1.35,-0.757,177.01,177.07,178.36,176.1,179.98,176.05,1863605,331831557,15:00:03,67.049,6.4,8499396.930089,7724359.01681,0.42706
sh688083,中望软件,67.01,0.02,0.03,67.01,67.03,66.99,66.5,68.41,65.8,1913647,128764254,15:00:03,126.434,4.382,1136799.494446,1136799.494446,1.12802
sh688084,晶品特装,83.06,0.47,0.569,83.06,83.29,82.59,82.29,83.98,81.34,700668,58103529,15:00:03,-109.289,4.007,628424.202196,615768.856662,0.94512
sh688085,三友医疗,21.93,0.75,3.541,21.93,21.95,21.18,20.88,22.57,20.81,9635762,211798539,15:00:00,438.6,3.524,731283.258114,688127.665065,3.07083
sh688087,英科再生,31.5,0.0,0.0,31.5,31.51,31.5,31.01,32.02,31.01,882985,27956474,15:00:03,19.091,2.228,611272.54125,586673.2935,0.4741
sh688088,虹软科技,47.51,-0.63,-1.309,47.51,47.52,48.14,47.79,48.36,47.11,5197052,248529648,15:34:59,107.977,7.158,1905960.5704,1905960.5704,1.29547
sh688089,嘉必优,19.17,-0.08,-0.416,19.17,19.2,19.25,19.2,19.3,19.06,2313005,44405717,15:00:03,25.905,1.982,322648.58304,322648.58304,1.37426
sh688090,瑞松科技,54.6,2.8,5.405,54.58,54.6,51.8,50.0,57.49,50.0,9903613,542734836,15:00:01,455.0,7.528,668140.54944,668140.54944,8.09317
sh688091,上海谊众,50.17,0.27,0.541,50.17,50.3,49.9,49.87,51.19,49.49,2633603,132729499,15:00:01,1672.333,7.098,1037032.16188,1037032.16188,1.2741
sh688092,爱科科技,30.62,-0.2,-0.649,30.62,30.63,30.82,30.41,31.31,30.41,1769564,54740506,15:00:03,37.341,3.9,253116.37188,253116.37188,2.14068
sh688093,世华科技,34.39,0.34,0.999,34.35,34.39,34.05,33.9,34.65,33.66,1878273,64501535,15:34:59,32.14,3.414,964236.418249,903189.081968,0.71517
sh688095,福昕软件,91.95,-2.21,-2.347,91.95,92.06,94.16,93.12,93.88,90.66,2685952,247962223,15:00:03,303.666,3.319,840050.82318,840050.82318,2.93998
sh688096,京源环保,9.31,0.07,0.758,9.31,9.32,9.24,9.2,9.47,9.12,6361099,59594510,15:00:03,-58.188,2.446,219757.340124,219757.340124,2.69487
sh688097,博众精工,42.59,-0.54,-1.252,42.59,42.6,43.13,42.56,43.17,41.91,5889580,250906272,15:00:01,47.747,4.009,1902272.831135,1895292.330135,1.32348
sh688098,申联生物,9.35,0.0,0.0,9.33,9.35,9.35,9.24,9.46,9.24,2626817,24595575,15:00:01,-85.0,2.723,383952.14,383952.14,0.63968
sh688099,晶晨股份,81.06,-0.8,-0.977,81.05,81.06,81.86,81.01,82.43,79.9,7145118,581999303,15:34:59,41.147,4.76,3413968.458978,3413968.458978,1.69651
sh688100,威胜信息,40.0,-0.22,-0.547,40.0,40.04,40.22,40.0,40.44,39.5,2215666,88996776,15:00:03,31.25,5.885,1966740.7,1966740.7,0.45063
sh688101,三达膜,16.73,0.02,0.12,16.73,16.75,16.71,16.71,16.95,16.56,1461189,24599922,15:00:03,17.611,1.278,555456.186418,555456.186418,0.4401
sh688102,斯瑞新材,38.72,-0.89,-2.247,38.72,38.73,39.61,38.6,40.1,38.11,17961473,699884878,15:34:59,245.841,16.57,3002572.903616,2841015.186592,2.44796
sh688103,国力电子,62.0,0.04,0.065,62.0,62.1,61.96,61.88,62.72,61.0,637570,39527454,15:00:03,193.75,5.262,590956.4162,590956.4162,0.6689
sh688105,诺唯赞,20.89,-0.1,-0.476,20.89,20.92,20.99,20.9,21.19,20.8,872653,18354112,15:00:03,-417.8,2.162,830867.462416,830867.462416,0.21941
sh688106,金宏气体,21.44,-0.15,-0.695,21.44,21.45,21.59,21.29,21.83,21.29,5033163,108893825,15:34:59,51.048,3.494,1033360.311008,1033360.311008,1.04427
