序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
1,000813,细分化工,4145.53,2.48,100.26,21329059,48417289311.0,5.48,4188.49,3966.74,3978.95,4045.27,0.93
2,000692,科创新能,1339.06,1.87,24.6,11210750,24580506005.0,5.5,1360.65,1288.33,1294.06,1314.46,1.04
3,000112,380电信,7094.34,1.57,109.96,7006425,27819922355.0,4.54,7222.18,6905.02,6905.02,6984.38,0.98
4,000158,上证环保,1474.44,1.48,21.51,25723129,41901861480.0,4.54,1494.45,1428.42,1430.41,1452.93,0.89
5,000070,能源等权,3008.86,1.39,41.13,31011435,23616834727.0,4.24,3030.9,2905.04,2905.04,2967.73,0.85
6,000941,新能源,2660.62,1.33,35.01,17758662,78825172737.0,4.06,2691.14,2584.41,2595.47,2625.61,0.83
7,000827,中证环保,1950.37,1.28,24.73,67693377,137289612847.0,3.69,1971.36,1900.32,1905.01,1925.64,0.99
8,000032,上证能源,2146.79,1.19,25.25,31011435,23616834727.0,3.53,2156.47,2081.61,2081.61,2121.54,0.85
9,000977,内地低碳,2172.54,1.12,24.03,35148212,102149899365.0,3.43,2195.24,2121.5,2126.65,2148.51,0.86
10,000040,上证电信,4258.85,1.0,42.15,17468146,46513334761.0,3.12,4310.12,4178.7,4178.7,4216.7,0.78
11,000092,资源50,5437.25,1.0,53.8,40640930,93346459266.0,4.55,5481.31,5236.45,5236.45,5383.45,0.72
12,000105,380材料,6141.73,0.96,58.36,22293353,35502677252.0,4.59,6221.91,5942.86,5953.33,6083.37,0.74
13,000104,380能源,1456.93,0.93,13.41,13425856,8330695204.0,3.66,1470.63,1417.75,1419.35,1443.52,0.73
14,000986,全指能源,2577.54,0.89,22.66,43627635,33000040988.8,3.38,2591.39,2504.97,2507.75,2554.88,0.86
15,000908,300能源,2511.73,0.86,21.41,8213710,10913487072.0,2.99,2520.32,2445.87,2450.37,2490.32,0.78
16,000832,中证转债,520.79,0.75,3.9,46086785,82151942660.0,1.75,522.93,513.89,515.64,516.89,1.01
